%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.type
146027000000,145,146027000000,sim_sensor,151.0,2.94547060304,-8.02014371083,0.0634969789328,-7.68691093397e-07,-2.41605348102e-06,0.0179526987987,-0.999838837313,
147027000000,146,147027000000,sim_sensor,124.0,3.44515177076,-8.03809086654,0.0634977138802,1.82464055629e-07,-9.23312198007e-07,0.0179471026939,-0.999838937781,
148028000000,147,148028000000,sim_sensor,103.0,3.94592380452,-8.05607600039,0.0634972056429,2.54618586773e-07,-5.24620374966e-07,0.0179455703685,-0.999838965286,
149027000000,148,149027000000,sim_sensor,84.0,4.44511612979,-8.07400241243,0.0634974959449,-1.76257090549e-07,-2.09509387966e-06,0.0179456087429,-0.999838964595,
150026000000,149,150026000000,sim_sensor,47.0,4.94532606685,-8.09196451693,0.0634976241105,3.91183200873e-07,-3.7307398897e-07,0.0179420319277,-0.999839028789,
151028000000,150,151028000000,sim_sensor,56.0,5.44511266792,-8.10990960519,0.0634964408413,-9.35313440051e-08,-2.21876112007e-06,0.0179448315241,-0.999838978544,
152029000000,151,152029000000,sim_sensor,44.0,5.94835031514,-8.10285728544,0.0634966825684,3.72918956931e-06,-1.39703265994e-06,-0.380490605127,-0.924784785447,
153031000000,152,153031000000,sim_sensor,40.0,6.17093125517,-7.66095917777,0.0634973073692,1.93688322435e-06,1.14992879255e-07,-0.711192812805,-0.702997000713,
154029000000,153,154029000000,sim_sensor,49.0,6.16512518006,-7.16096397747,0.0634973216528,-5.28568418539e-08,-1.12053772862e-06,-0.711193924019,-0.702995876543,
155029000000,154,155029000000,sim_sensor,67.0,6.15932824067,-6.66147342509,0.0634976426419,8.9772809074e-07,-4.51608204517e-07,-0.711209337936,-0.702980282534,
156029000000,155,156029000000,sim_sensor,33.0,6.15352372659,-6.16146387208,0.0634975600429,1.53071815988e-06,-5.32470055455e-07,-0.711189123872,-0.703000732634,
157029000000,156,157029000000,sim_sensor,44.0,6.14771803571,-5.66145520633,0.0634972637367,2.77338296483e-07,-1.74120638098e-06,-0.711204564244,-0.702985112073,
158030000000,157,158030000000,sim_sensor,57.0,6.14191597305,-5.16146352146,0.0634973703537,1.39657649407e-06,3.64146173842e-07,-0.711206136194,-0.70298352174,
159030000000,158,159030000000,sim_sensor,49.0,6.13611024943,-4.66146266645,0.0634976150506,6.56494450059e-07,-6.28032045309e-07,-0.711189534263,-0.703000317464,
160029000000,159,160029000000,sim_sensor,57.0,6.13030598531,-4.16146136293,0.0634975778679,8.46322543377e-07,-1.20979366936e-06,-0.711208714944,-0.702980912818,
161029000000,160,161029000000,sim_sensor,49.0,6.12450281965,-3.66144988206,0.0634973111397,2.01862711531e-06,1.63990171167e-08,-0.711194151268,-0.702995646642,
162028000000,161,162028000000,sim_sensor,50.0,6.11869096758,-3.16095094775,0.0634972968965,-1.12161557168e-07,-1.19322228792e-06,-0.711194548699,-0.702995244578,
163031000000,162,163031000000,sim_sensor,50.0,6.11288251034,-2.66046136973,0.0634976442612,9.1361411978e-07,-4.43949837954e-07,-0.711209151014,-0.702980471644,
164030000000,163,164030000000,sim_sensor,33.0,6.12062961948,-2.18490286087,0.063497972727,4.33702283527e-06,3.45989016941e-06,-0.758677423144,-0.65146647464,
165030000000,164,165030000000,sim_sensor,30.0,5.89083045486,-1.73632400476,0.0634975023464,-1.16588665468e-06,-1.73156136922e-06,-0.997328702903,-0.0730442219615,
166032000000,165,166032000000,sim_sensor,29.0,5.39362636004,-1.68892226683,0.0634970188738,2.47401971323e-06,1.24944540748e-06,-0.99942657055,-0.033860449966,
167031000000,166,167031000000,sim_sensor,9.0,4.8947924547,-1.65508235682,0.0634977116224,8.38408584238e-07,1.42422990813e-07,-0.999426518705,-0.0338619802905,
168029000000,167,168029000000,sim_sensor,6.0,4.39635942011,-1.62126961806,0.0634972783862,4.104903916e-07,5.38008643522e-07,-0.999426738399,-0.0338554954681,
169030000000,168,169030000000,sim_sensor,5.0,3.89701827435,-1.58739319397,0.0634975182929,2.05478771486e-06,4.69231707867e-07,-0.99942642657,-0.0338646994587,
170031000000,169,170031000000,sim_sensor,7.0,3.39865265232,-1.55358251435,0.0634975953873,2.73108708382e-07,-6.35164675183e-08,-0.999426426201,-0.0338647103953,
171033000000,170,171033000000,sim_sensor,8.0,2.89971530746,-1.51973245605,0.0634965266094,1.83699250927e-06,1.05935699571e-06,-0.999426480887,-0.0338630963981,
172031000000,171,172031000000,sim_sensor,3.0,2.4009021766,-1.48588917977,0.0634976931832,1.40874329031e-06,2.50932007108e-07,-0.999426348729,-0.033866996672,
173031000000,172,173031000000,sim_sensor,8.0,1.90200493221,-1.45203964247,0.0634972009976,-1.18745721521e-07,-5.01908666704e-07,-0.999426364294,-0.0338665373659,
174033000000,173,174033000000,sim_sensor,2.0,1.40211199639,-1.41812180128,0.0634970524104,2.46790586111e-06,1.15805449176e-06,-0.999426320802,-0.0338678207201,
175031000000,174,175031000000,sim_sensor,3.0,0.904274191447,-1.38434191134,0.0634977083614,8.02370365625e-07,8.3286296456e-08,-0.999426266775,-0.0338694151052,
176033000000,175,176033000000,sim_sensor,3.0,0.404842736187,-1.35045364237,0.0634972449281,4.42439960406e-07,3.96780763103e-07,-0.999426529165,-0.033861671548,
177031000000,176,177031000000,sim_sensor,2.0,-0.0934964694864,-1.31663776817,0.0634975363345,2.02977854868e-06,4.86143799025e-07,-0.9994261653,-0.0338724092504,
178031000000,177,178031000000,sim_sensor,4.0,-0.592362657587,-1.28278546451,0.0634975821573,2.28182698614e-07,-3.12696973281e-08,-0.999426166032,-0.0338723877159,
